"Player","Contest","Year","Apps","Goals"
"Theofanis Gekas","EUC-Q",2012,4,1
"Thomas Muller","EUC-Q",2012,10,3
"Tomas Pekhart","EUC-Q",2012,5,0
"Alexander Kerzhakov","EUC-Q",2008,9,5
"Cristiano Ronaldo","EUC-Q",2008,13,8
"David Lafata","EUC-Q",2008,2,2
"Dimitris Salpingidis","EUC-Q",2008,4,0
"Dirk Kuyt","EUC-Q",2008,7,1
"Fernando Torres","EUC-Q",2008,7,2
"Georgios Samaras","EUC-Q",2008,8,1
"Klaas-Jan Huntelaar","EUC-Q",2008,4,1
"Lukas Podolski","EUC-Q",2008,9,8
"Mario Gomez","EUC-Q",2008,6,2
"Milan Baros","EUC-Q",2008,8,3
"Miroslav Klose","EUC-Q",2008,9,5
"Pavel Pogrebnyak","EUC-Q",2008,5,1
"Robin van Persie","EUC-Q",2008,7,4
"Roman Pavlyuchenko","EUC-Q",2008,6,2
"Theofanis Gekas","EUC-Q",2008,9,5
"Wesley Sneijder","EUC-Q",2008,10,2
"Alexander Kerzhakov","EUC-Q",2004,7,2
"Fernando Torres","EUC-Q",2004,2,0
"Milan Baros","EUC-Q",2004,6,3
"Miroslav Klose","EUC-Q",2004,8,2
"Aleksandr Kokorin","Friendlies",2016,1,1
"Alexander Kerzhakov","Friendlies",2016,1,0
"Cristiano Ronaldo","Friendlies",2016,2,1
"Klaas-Jan Huntelaar","Friendlies",2016,0,0
"Lukas Podolski","Friendlies",2016,1,0
"Mario Gomez","Friendlies",2016,1,1
"Robert Lewandowski ","Friendlies",2016,2,0
"Thomas Muller","Friendlies",2016,2,0
"Aleksandr Kokorin","Friendlies",2015,1,1
"Alexander Kerzhakov","Friendlies",2015,1,1
"Arjen Robben","Friendlies",2015,1,2
"Cristiano Ronaldo","Friendlies",2015,1,0
"Klaas-Jan Huntelaar","Friendlies",2015,2,2
"Lukas Podolski","Friendlies",2015,2,1
"Mario Gomez","Friendlies",2015,1,0
"Robert Lewandowski ","Friendlies",2015,1,2
"Robin van Persie","Friendlies",2015,1,0
"Thomas Muller","Friendlies",2015,1,0
"Aleksandr Kokorin","Friendlies",2014,5,1
"Alexander Kerzhakov","Friendlies",2014,6,4
"Arjen Robben","Friendlies",2014,3,1
"Cristiano Ronaldo","Friendlies",2014,4,2
"David Lafata","Friendlies",2014,1,0
"Dimitris Salpingidis","Friendlies",2014,4,0
"Dirk Kuyt","Friendlies",2014,1,0
"Fernando Torres","Friendlies",2014,1,1
"Georgios Samaras","Friendlies",2014,4,0
"Klaas-Jan Huntelaar","Friendlies",2014,3,0
"Lukas Podolski","Friendlies",2014,4,1
"Mario Gomez","Friendlies",2014,1,0
"Miroslav Klose","Friendlies",2014,2,1
"Pawel Brozek","Friendlies",2014,1,1
"Robert Lewandowski ","Friendlies",2014,2,1
"Robin van Persie","Friendlies",2014,5,2
"Theofanis Gekas","Friendlies",2014,4,0
"Thomas Muller","Friendlies",2014,4,1
"Aleksandr Kokorin","Friendlies",2013,2,0
"Alexander Kerzhakov","Friendlies",2013,2,0
"Arjen Robben","Friendlies",2013,5,2
"Cristiano Ronaldo","Friendlies",2013,3,3
"David Lafata","Friendlies",2013,1,1
"Dimitris Salpingidis","Friendlies",2013,1,0
"Dirk Kuyt","Friendlies",2013,2,0
"Fernando Torres","Friendlies",2013,1,0
"Klaas-Jan Huntelaar","Friendlies",2013,1,0
"Lukas Podolski","Friendlies",2013,4,2
"Mario Gomez","Friendlies",2013,2,0
"Miroslav Klose","Friendlies",2013,2,0
"Robert Lewandowski ","Friendlies",2013,4,0
"Robin van Persie","Friendlies",2013,4,1
"Thomas Muller","Friendlies",2013,3,2
"Aleksandr Kokorin","Friendlies",2012,6,0
"Alexander Kerzhakov","Friendlies",2012,5,2
"Arjen Robben","Friendlies",2012,6,2
"Cristiano Ronaldo","Friendlies",2012,4,1
"David Lafata","Friendlies",2012,6,3
"Dimitris Salpingidis","Friendlies",2012,4,1
"Dirk Kuyt","Friendlies",2012,5,0
"Fernando Torres","Friendlies",2012,4,1
"Georgios Samaras","Friendlies",2012,5,0
"Klaas-Jan Huntelaar","Friendlies",2012,5,2
"Lukas Podolski","Friendlies",2012,3,0
"Mario Gomez","Friendlies",2012,2,1
"Milan Baros","Friendlies",2012,3,2
"Miroslav Klose","Friendlies",2012,4,0
"Pavel Pogrebnyak","Friendlies",2012,2,0
"Pawel Brozek","Friendlies",2012,2,0
"Robert Lewandowski ","Friendlies",2012,4,1
"Robin van Persie","Friendlies",2012,4,3
"Roman Pavlyuchenko","Friendlies",2012,3,0
"Theofanis Gekas","Friendlies",2012,3,0
"Thomas Muller","Friendlies",2012,4,0
"Tomas Pekhart","Friendlies",2012,4,0
"Aleksandr Kokorin","Friendlies",2011,1,0
"Alexander Kerzhakov","Friendlies",2011,2,0
"Arjen Robben","Friendlies",2011,1,0
"Cristiano Ronaldo","Friendlies",2011,2,2
"David Lafata","Friendlies",2011,2,0
"Dimitris Salpingidis","Friendlies",2011,4,0
"Dirk Kuyt","Friendlies",2011,5,2
"Fernando Torres","Friendlies",2011,7,1
"Georgios Samaras","Friendlies",2011,4,0
"Klaas-Jan Huntelaar","Friendlies",2011,4,1
"Lukas Podolski","Friendlies",2011,7,0
"Mario Gomez","Friendlies",2011,4,2
"Milan Baros","Friendlies",2011,1,0
"Miroslav Klose","Friendlies",2011,6,2
"Pavel Pogrebnyak","Friendlies",2011,3,1
"Pawel Brozek","Friendlies",2011,9,3
"Robert Lewandowski ","Friendlies",2011,11,4
"Robin van Persie","Friendlies",2011,3,0
"Roman Pavlyuchenko","Friendlies",2011,3,1
"Theofanis Gekas","Friendlies",2011,1,0
"Thomas Muller","Friendlies",2011,7,2
"Tomas Pekhart","Friendlies",2011,2,0
"Arjen Robben","Friendlies",2010,2,2
"Cristiano Ronaldo","Friendlies",2010,5,0
"David Lafata","Friendlies",2010,3,0
"Dimitris Salpingidis","Friendlies",2010,5,1
"Dirk Kuyt","Friendlies",2010,4,2
"Fernando Torres","Friendlies",2010,3,1
"Georgios Samaras","Friendlies",2010,5,1
"Klaas-Jan Huntelaar","Friendlies",2010,4,2
"Lukas Podolski","Friendlies",2010,4,1
"Mario Gomez","Friendlies",2010,5,2
"Miroslav Klose","Friendlies",2010,3,0
"Pavel Pogrebnyak","Friendlies",2010,3,0
"Pawel Brozek","Friendlies",2010,3,2
"Robert Lewandowski ","Friendlies",2010,13,5
"Robin van Persie","Friendlies",2010,4,4
"Roman Pavlyuchenko","Friendlies",2010,2,0
"Theofanis Gekas","Friendlies",2010,3,0
"Thomas Muller","Friendlies",2010,2,0
"Tomas Pekhart","Friendlies",2010,1,0
"Alexander Kerzhakov","Friendlies",2009,1,0
"Cristiano Ronaldo","Friendlies",2009,2,1
"David Lafata","Friendlies",2009,1,0
"Dimitris Salpingidis","Friendlies",2009,1,0
"Dirk Kuyt","Friendlies",2009,6,1
"Fernando Torres","Friendlies",2009,3,2
"Georgios Samaras","Friendlies",2009,2,0
"Klaas-Jan Huntelaar","Friendlies",2009,6,2
"Lukas Podolski","Friendlies",2009,4,3
"Mario Gomez","Friendlies",2009,5,5
"Milan Baros","Friendlies",2009,2,1
"Miroslav Klose","Friendlies",2009,2,0
"Pavel Pogrebnyak","Friendlies",2009,1,0
"Pawel Brozek","Friendlies",2009,3,1
"Robert Lewandowski ","Friendlies",2009,6,0
"Robin van Persie","Friendlies",2009,4,1
"Roman Pavlyuchenko","Friendlies",2009,1,1
"Theofanis Gekas","Friendlies",2009,2,1
"Cristiano Ronaldo","Friendlies",2008,3,0
"Dimitris Salpingidis","Friendlies",2008,6,0
"Dirk Kuyt","Friendlies",2008,6,2
"Fernando Torres","Friendlies",2008,6,1
"Georgios Samaras","Friendlies",2008,3,0
"Klaas-Jan Huntelaar","Friendlies",2008,5,5
"Lukas Podolski","Friendlies",2008,6,1
"Mario Gomez","Friendlies",2008,5,3
"Milan Baros","Friendlies",2008,4,1
"Miroslav Klose","Friendlies",2008,5,3
"Pavel Pogrebnyak","Friendlies",2008,2,2
"Pawel Brozek","Friendlies",2008,3,0
"Robert Lewandowski ","Friendlies",2008,1,1
"Robin van Persie","Friendlies",2008,4,3
"Roman Pavlyuchenko","Friendlies",2008,5,2
"Theofanis Gekas","Friendlies",2008,7,3
"Cristiano Ronaldo","Friendlies",2007,1,0
"David Lafata","Friendlies",2007,1,0
"Dimitris Salpingidis","Friendlies",2007,1,0
"Dirk Kuyt","Friendlies",2007,4,1
"Fernando Torres","Friendlies",2007,2,0
"Georgios Samaras","Friendlies",2007,1,0
"Klaas-Jan Huntelaar","Friendlies",2007,3,0
"Lukas Podolski","Friendlies",2007,1,1
"Mario Gomez","Friendlies",2007,1,1
"Milan Baros","Friendlies",2007,2,0
"Pavel Pogrebnyak","Friendlies",2007,1,0
"Pawel Brozek","Friendlies",2007,2,0
"Robin van Persie","Friendlies",2007,1,0
"Roman Pavlyuchenko","Friendlies",2007,2,1
"Theofanis Gekas","Friendlies",2007,2,1
"Alexander Kerzhakov","Friendlies",2006,3,0
"Cristiano Ronaldo","Friendlies",2006,4,2
"David Lafata","Friendlies",2006,1,0
"Dimitris Salpingidis","Friendlies",2006,6,0
"Dirk Kuyt","Friendlies",2006,6,1
"Fernando Torres","Friendlies",2006,6,1
"Georgios Samaras","Friendlies",2006,5,2
"Klaas-Jan Huntelaar","Friendlies",2006,2,2
"Lukas Podolski","Friendlies",2006,7,2
"Milan Baros","Friendlies",2006,5,2
"Miroslav Klose","Friendlies",2006,6,6
"Pavel Pogrebnyak","Friendlies",2006,1,1
"Pawel Brozek","Friendlies",2006,2,0
"Robin van Persie","Friendlies",2006,4,1
"Roman Pavlyuchenko","Friendlies",2006,1,0
"Theofanis Gekas","Friendlies",2006,5,0
"Alexander Kerzhakov","Friendlies",2005,2,0
"Cristiano Ronaldo","Friendlies",2005,4,0
"Dimitris Salpingidis","Friendlies",2005,2,0
"Dirk Kuyt","Friendlies",2005,3,0
"Fernando Torres","Friendlies",2005,3,1
"Lukas Podolski","Friendlies",2005,8,5
"Milan Baros","Friendlies",2005,2,0
"Miroslav Klose","Friendlies",2005,5,0
"Pawel Brozek","Friendlies",2005,2,1
"Robin van Persie","Friendlies",2005,1,0
"Theofanis Gekas","Friendlies",2005,1,0
"Alexander Kerzhakov","Friendlies",2004,4,0
"Cristiano Ronaldo","Friendlies",2004,5,0
"Dirk Kuyt","Friendlies",2004,1,0
"Fernando Torres","Friendlies",2004,6,1
"Lukas Podolski","Friendlies",2004,7,2
"Milan Baros","Friendlies",2004,5,4
"Miroslav Klose","Friendlies",2004,9,5
"Alexander Kerzhakov","Friendlies",2003,2,0
"Cristiano Ronaldo","Friendlies",2003,2,0
"Fernando Torres","Friendlies",2003,1,0
"Milan Baros","Friendlies",2003,2,2
"Miroslav Klose","Friendlies",2003,4,0
"Roman Pavlyuchenko","Friendlies",2003,1,0
"Alexander Kerzhakov","Friendlies",2002,4,1
"Milan Baros","Friendlies",2002,5,3
"Miroslav Klose","Friendlies",2002,8,6
"Milan Baros","Friendlies",2001,2,1
"Miroslav Klose","Friendlies",2001,2,0
"David Lafata","KIC",2011,2,0
"Aleksandr Kokorin","WOC-G",2014,2,0
"Alexander Kerzhakov","WOC-G",2014,3,1
"Arjen Robben","WOC-G",2014,3,3
"Arjen Robben","WOC-K",2014,4,0
"Cristiano Ronaldo","WOC-G",2014,3,1
"Dimitris Salpingidis","WOC-G",2014,2,0
"Dimitris Salpingidis","WOC-K",2014,1,0
"Fernando Torres","WOC-G",2014,3,1
"Georgios Samaras","WOC-G",2014,3,1
"Georgios Samaras","WOC-K",2014,1,0
"Klaas-Jan Huntelaar","WOC-K",2014,3,1
"Lukas Podolski","WOC-G",2014,2,0
"Miroslav Klose","WOC-G",2014,2,1
"Miroslav Klose","WOC-K",2014,3,1
"Robin van Persie","WOC-G",2014,2,3
"Robin van Persie","WOC-K",2014,4,1
"Theofanis Gekas","WOC-G",2014,3,0
"Theofanis Gekas","WOC-K",2014,1,0
"Thomas Muller","WOC-G",2014,3,3
"Thomas Muller","WOC-K",2014,4,2
"Arjen Robben","WOC-G",2010,1,0
"Arjen Robben","WOC-K",2010,4,2
"Cristiano Ronaldo","WOC-G",2010,3,1
"Cristiano Ronaldo","WOC-K",2010,1,0
"Dimitris Salpingidis","WOC-G",2010,2,1
"Dirk Kuyt","WOC-G",2010,3,1
"Dirk Kuyt","WOC-K",2010,4,0
"Fernando Torres","WOC-G",2010,3,0
"Fernando Torres","WOC-K",2010,4,0
"Georgios Samaras","WOC-G",2010,2,0
"Klaas-Jan Huntelaar","WOC-G",2010,2,1
"Klaas-Jan Huntelaar","WOC-K",2010,2,0
"Lukas Podolski","WOC-G",2010,3,1
"Lukas Podolski","WOC-K",2010,3,1
"Mario Gomez","WOC-G",2010,2,0
"Mario Gomez","WOC-K",2010,2,0
"Miroslav Klose","WOC-G",2010,2,1
"Miroslav Klose","WOC-K",2010,3,3
"Robin van Persie","WOC-G",2010,3,1
"Robin van Persie","WOC-K",2010,4,0
"Theofanis Gekas","WOC-G",2010,2,0
"Thomas Muller","WOC-G",2010,3,1
"Thomas Muller","WOC-K",2010,3,4
"Cristiano Ronaldo","WOC-G",2006,2,1
"Cristiano Ronaldo","WOC-K",2006,4,0
"Arjen Robben","WOC-G",2006,2,1
"Arjen Robben","WOC-K",2006,1,0
"Dirk Kuyt","WOC-G",2006,2,0
"Dirk Kuyt","WOC-K",2006,1,0
"Fernando Torres","WOC-G",2006,3,3
"Fernando Torres","WOC-K",2006,1,0
"Lukas Podolski","WOC-G",2006,3,1
"Lukas Podolski","WOC-K",2006,4,2
"Milan Baros","WOC-G",2006,1,0
"Miroslav Klose","WOC-G",2006,3,4
"Miroslav Klose","WOC-K",2006,4,1
"Robin van Persie","WOC-G",2006,3,1
"Robin van Persie","WOC-K",2006,1,0
"Alexander Kerzhakov","WOC-G",2002,1,0
"Miroslav Klose","WOC-G",2002,3,5
"Miroslav Klose","WOC-K",2002,4,0
"Aleksandr Kokorin","WOC-Q",2014,8,4
"Alexander Kerzhakov","WOC-Q",2014,10,5
"Arjen Robben","WOC-Q",2014,6,3
"Arjen Robben","WOC-Q",2006,6,2
"Cristiano Ronaldo","WOC-Q",2014,10,8
"David Lafata","WOC-Q",2014,6,1
"Dimitris Salpingidis","WOC-Q",2014,9,4
"Fernando Torres","WOC-Q",2014,1,0
"Georgios Samaras","WOC-Q",2014,10,0
"Klaas-Jan Huntelaar","WOC-Q",2014,2,2
"Lukas Podolski","WOC-Q",2014,5,0
"Mario Gomez","WOC-Q",2014,0,0
"Miroslav Klose","WOC-Q",2014,6,4
"Pawel Brozek","WOC-Q",2014,1,0
"Robert Lewandowski ","WOC-Q",2014,9,3
"Robin van Persie","WOC-Q",2014,9,11
"Theofanis Gekas","WOC-Q",2014,7,2
"Thomas Muller","WOC-Q",2014,10,4
"Tomas Pekhart","WOC-Q",2014,4,2
"Jakub Blaszczykowski","WOC-Q",2012,3,1
"Alexander Kerzhakov","WOC-Q",2010,5,2
"Arjen Robben","WOC-Q",2010,6,1
"Cristiano Ronaldo","WOC-Q",2010,7,0
"David Lafata","WOC-Q",2010,1,0
"Dimitris Salpingidis","WOC-Q",2010,9,2
"Dirk Kuyt","WOC-Q",2010,8,3
"Fernando Torres","WOC-Q",2010,7,0
"Georgios Samaras","WOC-Q",2010,10,2
"Klaas-Jan Huntelaar","WOC-Q",2010,8,3
"Lukas Podolski","WOC-Q",2010,9,6
"Mario Gomez","WOC-Q",2010,10,0
"Milan Baros","WOC-Q",2010,10,5
"Miroslav Klose","WOC-Q",2010,8,7
"Pavel Pogrebnyak","WOC-Q",2010,7,1
"Pawel Brozek","WOC-Q",2010,5,1
"Robert Lewandowski ","WOC-Q",2010,9,2
"Robin van Persie","WOC-Q",2010,6,1
"Roman Pavlyuchenko","WOC-Q",2010,9,5
"Theofanis Gekas","WOC-Q",2010,12,10
"Alexander Kerzhakov","WOC-Q",2006,10,4
"Cristiano Ronaldo","WOC-Q",2006,12,7
"Dimitris Salpingidis","WOC-Q",2006,2,0
"Dirk Kuyt","WOC-Q",2006,11,3
"Fernando Torres","WOC-Q",2006,11,7
"Milan Baros","WOC-Q",2006,12,5
"Pawel Brozek","WOC-Q",2006,3,0
"Robin van Persie","WOC-Q",2006,6,1
"Roman Pavlyuchenko","WOC-Q",2006,3,1
"Theofanis Gekas","WOC-Q",2006,3,0
"Milan Baros","WOC-Q",2002,6,3
"Miroslav Klose","WOC-Q",2002,5,2
